text,label
DESIGN ! ! ! . . ! DEADLY Purchased these to because she sometimes escapes yard our and I want to be fast to find her able put on collar s my dog Had this open chewed in time a few days Button batteries are Do not the chance with ones loved your take DO NOT BUY deadly to children and pets,negative
material . . . Very poor Also very messy and not well could see the imprint Was also along the edges discolored,negative
"I Maybe except . . . , out of earbuds for the price too much if they 're even "" durable "" but I nevertheless was , disappointed when these if heavy a bit on the ends lower stopped working , after I got them less than six months One side out first Cordless ear buds are looking more and more favorable went . . and the other then , followed suit The sound was good , Gets the job with only three of use continual months done",negative
The cups are good . . and sturdy Great for shower baby my,positive
"Does . . what is supposed to do it , , irritated area groin his not for wear long but He was sensitive for a couple of days and in pain",positive
The group of stories well together are put . . It is going through them nice,positive
gash Huge opened in slide on use third,negative
meh is all I can say,negative
design . . Beautiful early Came,positive
No pieces . . more single for me This one piece big no slip for bathtub is tricky A little to on put but and we don't slip stays in place great !,positive
I bought . . . this to replace an older dirt devil but like the one is cousin cheap 's it It pretty well works for the little I use it but it doesn't feel sturdy at all I don't think it would be for use daily or high traffic places good,negative
Keeps . . . out of the house the straw and mud Makes life easier a lot It works and looks good,positive
"we Unfortunately didn't think . . to test these until we went on vacation and 1/3rd of our order was , and it was past the return deadline , broken Otherwise would have been a great deal",negative
The product . 1 came . . . laden with a smell very high chemical . 2 The pads have aquarium glass my scratched I would not this product recommend,negative
I got . . . both colors The one black don't I recommend as it leaves lints tiny black in that can go with the milk pumped I didn't find the issue with the one pink,positive
I received . the box and the part between the base and the seat not was enclosed . I out to the company and they not do carry parts I so have to exchange reached . I do not if I will re-purchase this know,negative
"Opening is good the down settle starts to cheap a little smell but then back up picks after a while , fragrance good cheap",positive
Case returned ... The magnet was so it would not together to the case up hold stay weak,negative
"They me sent . two sealing rings One of them was I so texted them broken , and they me sent a set new of rings sealing",positive
"The smell is too strong . , I wouldn’t I probably wouldn’t it all the time either wear put this on girl baby my",negative
I installed . on 2017 Sierra GMC my these to cover the 2 stake holes for installation of a cover tonneau,positive
"design . Nice compact but mine unfortunately , stopped working after receiving it one day",negative
"Loved . . the straightener hair brush After using a protector heat , hair my out smooth and straight turned",positive
"I ordered ... . as an "" - on "" add to a centerpiece table this I received a piece hair instead of butterflies",negative
I order . the dress M but it came so stretched and long,negative
I store . . on porch front my bike my and I ’m always worried that the elements will get to it This cover completely solves . that problem The fabric is durable and easily fits over it I especially . I would definitely purchasing recommend . love that access easy for my lock bike,positive
Not Less than a month happy . . and is starting to off peel,negative
"I loved the cover , but it wouldn't fit on my new 10 "" thick futon mattress . So I will have to return it .",positive
"Sound quality is acceptable ) . . . . . battery life is but but the adage old , ; is you get what you pay for nothing near what 's stated They only last about two hours after a ( charge ) 52 hour They also switch modes on own their I 'll be I ( WISH it REVIEWERS 's WOULD changing mode operating its USE PRODUCTS FOR A DAYS FEW . . listening and one of them suddenly will announce BEFORE WRITING REVIEWS or they both might , stop playing You might up with just the left bud continuing to work end Very disappointed after having read the reviews other",negative
Lasted . less than 3 years for use occasional,negative
"I 'm really pleased . . . with this item I am always in the morning and never have time to look through earrings my , so I up wearing the ones same for months end rushing This book it so to keep earrings organized easy I 'm . excited to again wearing all earrings my start makes price Cheap and quality good",positive
"Thin ! , easy to install and too perfect for case wrap around",positive
They me have delivered . a guitar broken,negative
Bristles apart break . . from handle and bamboo not is treated with a finish nice smooth Feels like a piece dry of wood every time you brush,negative
So easy . . !! to put together And love that it fits multiple pot sizes You can’t tell it ’s inside with pot But . thinner than expected adjustible,positive
quality . Poor Zipper was broken before it on getting,negative
n’t Did work . . on bike my and kept blowing the fuse Company tried to say the problem was with my bike Ordered from someone else and returned this,negative
Very comfortable . . I feel wealthy when I am wearing it,positive
very good . For glare and rain the looks of my post last was better but I believe this pr. may have a frame more stable,positive
I 've had . . Like the reviewers other issues with screws stripped and difficulty wires in getting Not worth the hassle,negative
Does what it supposed to do,positive
"I use . . . on the side of my refrigerator at work this I really like it For the part most and it does what I expect it to do I have I so think it would be perfect and 5 stars if it had magnet stronger a bit on it , pulled , the thing whole off of the refrigerator If I get too rambunctious a little",positive
I use . . . this product for strengthening back upper my and arms I only use the band heavy and it well works I doubt I ’ll use the two strengths other weaker,positive
"This leaves . . streaks and everywhere smears I wouldn't again touch this stuff if it was Even free , I 'd it out toss",negative
"I ordered ! . . . . for mother my for Day 's Mother this She LOVED this machine the month first but has had nothing but with it problems for the 4 months last It leaks while brewing and it doesn't even on sometimes turn Extremely Now , it won't even on at all for to make cappuccino her turn . disappointed that I spent money this much for something to later less than 6 months break her NOT WORTH THE MONEY",negative
"Very satisfied ! . Usually there a smell in this of pad kind before use but this one and directly can be used without wash , smells fresh 's I am such a ( freak ) clean and sensitive to smells weird",positive
This is about the seat . . . . cheesiest ever I have seen and it is pitiful for the price and I believe it easily should operate at least for a child The fabric cover is very The buckle together that goes is extremely granddaughter old 7 year my had to come to me to it apart as that is it is intended for who take and hard to work weight light and cheaply sewed Looks much better then it really is,negative
So cute ! and quality good,positive
"This planner has been very and everyone who sees it , loves it . It attract energy great ! The planner is functional and , keep me in line . I would suggest anyone to purchase it . useful",positive
Smaller then I thought,positive
not Can keep . on this jacket buttons quality very cheap poor,negative
"I used . , as a backdrop photo booth this great worked",positive
not Does work . ! I have a Plus 7 and it doesn’t work at all,negative
I never recived order my,negative
This nailer is awful . . . . It came with nails brad and it not does push them in way half I up hammering them the rest and some bent causing damage to the wood ended I Unfortunately I am immediately returning ordered more brad nail in that didnt come sets they will so have back to to go,negative
I 'm very happy . with this purchase and can't wait for to hubby redeem the coupons,positive
These are absolutely beautiful ! ! I they are too well made and a bargain great thinking about ordering another round reversible ! ! like ! that it comes with a card for all the ways to wear these,positive
"voice response system Their is very to navigate and get to the point where actually you can speak with a person real . They don't respond in the frame time they say for instance they will ( "" you will an email back from us within 48 hours receive . "" ) Bull . I would not a warranty Square Trade ever again . Ever buy . difficult",negative
"Meh ? and good worked as a handle . Was n't enough strong to keep phone my afloat , but can it easy to spot in water shallow or clear make . Cute",positive
"Machine well works , magnet seems less strong than machine from Grainger",positive
Never got in transit the olives broke,negative
"I selected . . . . this feeder because it promised ease of cleaning but have to cram a piece little of matchstick wooden in the hole but one of the tabs and not could be reattached , flew the time first I cleaned it across the kitchen two tabs loaded spring are , depressed Instead of having to unscrew the base of the feeder and the base off pops idea Great I am still the feeder using",negative
"Not size . . . . . actual Runs about half a size small I am Normally an Also if you have feet wide , you may up to go a size full want 8 but I need an 8.5 in this shoe The straps are tight a little",negative
"We use ! , . mornings Sunday for the youth at church our this They great we love them work",positive
They way it look the advertisement appears . to look like you getting more than one can,negative
devotional . . . awesome daily daughter old 15 year My has really it enjoyed teaching Very solid,positive
"perfectly Works . . for storing my AMA - mini media player I read complaints that there no Velcro strap to secure device your was , but there actually one that secures it to the piece flat center I was so happy to find that feature is It was a . fit perfect for what I needed it for and feels really sturdy and well made",positive
Just like the picture !,positive
"I really like these lights . 2 issues , though : 1 . One end of each string of lights has an approx 1 ” white battery pack . So you have to be able to hide it , unless you ’re ok with that look . I was not . 2 . Also the battery life is short . I left a couple of mine on overnight , and by next morning those strands were dead .",positive
"Very disappointed . . . I , thought For the price they would sing the words to the songs so grandson my could hear the rhymes nursery and learn I do not this at all recommend",negative
it was too big At the waist where it out bows,negative
Not as as I was hoping stretchy .,positive
They are but the pearls started falling off as I was taking them out of the package falling . Not very happy about that . Don’t care for needing back together to piece them or the possibility of more of the pearls off falling . 🙁 pretty,negative
"Product significantly smaller than advertised ran . . . I read reviews other but I not did , see anything about it being small It was - fitting form not and flowy loose",negative
don’t bother . . Unless you are a seamstress It fits on one little my really strange,negative
"clockwise or counterclockwise Rotate . . . the ball to scroll the page or down up I thought the silver edge did this but I was , wrong This fine performs . The driver from the website did not , windows driver did work work",positive
I have been using . . for a months few the holder hard side but it became too cumbersome for the number of cards I have to carry And I haven't . spilled cards all over the store floor since I got it This one is easier and has room more for cash,positive
"Not great . , hard to open",negative
This was a replacement for ones that were broken smd the plastic nose clip cracked after use minimal . With the issues with we have seen vanquished I would not them for use competitive or practice recommend pair,negative
saw . . good little but the cover blade off after 2nd using company quickly replaced it for free broke,positive
"It is not only slots but , winning clubs , contest and the , best for chips free on the page fan . machine",positive
"The knife itself is just fine ! . . , quality nice and I really , like the case However , the sharpening tools were not sent I contacted Amazon and they and me gave a label to return the one first had me reorder The second Hori Hori you guessed it What a rip off . arrived !! ... and , ... no sharpening tools included !! I 'm Amazon again contacting",negative
"Overpriced , lower level french . If you like food dog , this is for . you pate",negative
These are ok . . They have a strong medicine smell I choose them because they are on subscribe & save,positive
"Works . good but doesn't , seem to have the power dinosaur old my of a mixer hand had back I bought that in the 90's early though . Happy , with it",positive
Worked . for 3 days and out burned,negative
Be careful . . . with sizing I up a size ordered and they were way too big They are constructed of materials thin but seem very warm,positive
Junk . Springs that were suppose to hold batteries out fell . ! !!!! upon opening Not properly . installed . Will not 2 weeks last Don't I was out of and missed date return by one day town . Can not Amazon I am so out 10 dollars reach buy it,negative
"sleeves . , Awesome quality great",positive
Only wear two times an it change,positive
Don't use . . liquids if you them don't want covering everything in your bag lunch The thing only good about them is size their,negative
"Dis honest ! I really . This is bull shiz , not happy at all ! Amazon thought I was getting the pair I was wanting which the one smaller seller",negative
Daughter likes them but very cheaply made,negative
I bought . this thing damn so that I wouldn't have to style it So much for that,negative
"The shampoo bottle not was sealed . . , The shampoo also has a smell rotten as a result , a lot of it was out in the package spilled",negative
Love . . . for myself this pillow baby My doesn't very much care for it price Average,positive
"quality . Cheap but , functional",positive
"Very easy . to install and the kiddo ( old ) 3 year can , reach it no problem",positive
"The bracket is universal . for bikes most It will need a fit test The allen head nuts are a nuts Captive are I . wish . the screws were longer hard to start . size , . weird about 0.10 "" or 2.5 mm 5 / 16 "" nuts The reflector rear will have to be the rail back moved",positive
earnings . . Great They are beautiful,positive
"beds ! . ? . , Cute easy to together put but the smell is , overpowering perhaps Formaldehyde I washed the bedding and outside have left the beds for 2 days to out air and they 're still too strong to leave in bedroom 's my child Daughter is really that she yet can't play with gift Christmas her upset",negative
"These bookends are super cute . . ! and LOOK great but they are NOT , functional for kids but they are and are not functional , more of decorations shelf They only books up against if are they tightly the books , but it is VERY to get the books to fit in there and they get over very easily pushed difficult hold It 's too much , of a hassle to return so I 'm them keeping",negative
"It is a notebook . . . cute and i dont hate it but it is honestly not worth the money Like the binding is so fragile , i out one just page and the binding is kind of up and maybe will start to apart sooner or later fall messed ripped I was really to love it it but it sadly not did , so i would not again repurchase hoping",negative
Ordered . . two organizers and they both in came after week of waiting cracked and scratched . I ’d then if there no fee for shipping was return . It like case is thick enough though it ’s even cracked and scratch Going to keep them but it ’s not for long term item seems,negative
"Very . useful . as it ’s Just described and a , must for machining manual",positive
A read . great on what 's on in the world non-published going,positive
"I loved . . . the colors but was extremely disappointed to if I just threw it out of window car my find two holes in the butt after only one I was sitting , during which on furniture soft upholstered most of the around my house time wear There should not holes in them after wear such gentle . I won't be from this brand ever again buying be If i wanted away to throw money I 'm I 'd find disappointment less sure",negative
"aesthetics . . Great but and construction overall material very poor As noted by one at least review other , the trundle will not properly fit",negative
"We love . , . ... ! these But These aren't the size , normal they are that its Not a problem larger just want to sure you know make",positive
fine Works And . easy to install,positive
jacket . Beautiful jackets ’s some people however I will definitely in another color as well purchase had a lining beautiful floral and mine not did but it doesn’t away from the beauty of the jacket take and had to return Xl my for a L but and you that don’t NEVER has happened to me The reviews lead you to believe you need to up for arms larger and breasts size . . . 34 I am a DDD with arms muscular,positive
Great . for soccer outdoor in the cold games,positive
Love ! -- these claws garden I have set own my and have been buying as gifts to friends and neighbors,positive
I it on night last and haven't or once mishandled dropped phone my yet it somehow already 's got a crack fine in the glass . plus the edges very of the protector flat won't lie on the screen . put,negative
Far too small . . . Size chart not even close to being accurate Very disappointing,negative
I only have used . . . about five times the top whole also apart came The string that adjust the umbrella broke A rib it broke,negative
"I like . . , this watch it looks sharp and has great night time illumination the movement automatic great works",positive
"is such a mess hot This book It 's so I think I 'm just slightly having for read it dumber dumb , It away points IQ your You yourself 'll be it 's that stupid doing a favor sucks I . feel like going to house 's the author and demanding that she over come and mow lawn my to back pay time my . . . , skip . . this one If you like the series matchmaker",negative
backpack . Cool Zippers are cheap a little,positive
These do smell . nice but they don't well or work to away keep bugs stick,negative
The Bluetooth app kinda sucks it doesn’t have any colors preset or modes it would be if I could it up with my changing color light other then that the lights are for the price ok bar hook nice I would expect more a little,negative
Perfect for party my,positive
"The cable is extremely stout . . . and the tips are extremely and well made strong it is , braided so as to well resist snags or crimps to a ( degree ) I as It is pricey a little for a cable USB but it 's definitely worth it I 'm so not when I least suspect it dealing with a cable broken like the strap velcro and appreciate that for storage",positive
"This would be great . . if the lip / cap would on stay But a cap hard on a pouch silicone is . impossible You squeeze and the cap up around the edges and off instantly , everywhere getting batter / icing pops fills",negative
"Had . . . to rewrite review Charger broke within 10 days the company Furthermore most here of the reviews are so clearly fake , offers card 5 $ gift to anyone who writes a review positive",negative
"It does protect . . . the screen but seriously hampers ability your to use , finger your on the screen especially with about 1 / 2 of the edges inch it perfectly I am looking for a solution different works If you use the pen but otherwise quite frustrating",negative
"The lens macro quite often works . . . . , about 10 only % of the time no matter how carefully you place ( the camera that can't be removed which A couple of them is a disappointment big without a ( case on the phone ... it just isn't a functioning ) when even attached without a case lens were very as well they 're Mostly just fuzzy , The rest Really really not , worth the purchase after a couple of of trying months even without the case ) , , disappointing . , , even with a case very slim on my iPhone 7 get black / corners edges effect",negative
The best earl ever I 've had grey its the - one !! only now i 'll drink,positive
Ordered . - . milk chocolate and not did receive it and I then learn that this item is for return ineligible child My hates it tasted the one I received I am So . stuck with worth 30 $ of Milk I didn’t order that,negative
"This product came ! . . defective I missed the window return I . had . to take it to a store special key me who charged 60 $ to only to out that the key was defective find program , key my and cut and they don’t and they were going anyway to charge me work a lot of the time I ’m So now out , 100 $ when I could have just had the dealer take care of it in the place first and I ’m so now even more frustrated They me people bring keys from Amazon all the time told",negative
fit . Really nice and material good,positive
Not well made . around the toes tie Little out sticks,negative
"I got ! ! the one Black on Black and I love it I can wear it out or to work everyday going No just the time and date ! gadgets , it ’s also comfortable and will get even more when the leather in breaks so far no issues",positive
"Adhesive completely out within 8 days of application just , fell off phone since they have since removed the designation "" Amazon "" Choice and now won't adhere on When it was phone . the glare off of this was Phone product Horrible was almost unusable in car or outside because glare obscured phone horrible . . Would not have for if not the "" Choice "" 's Amazon , feel like Amazon should refund everyone especially who purchased this purchased . back us give money our . gave",negative
Not as as I thought I would be getting good . . . of a quality I put tape painters around the edges because they were sharp and already had rust It was also in some places dented,negative
"This Pop particular is of ! quality . . , lower which why it was an "" add - "" on explains You can see the glue at the back of 's Benny head Just I will not be something as an "" - on "" add again buying . goes . to show you you pay what for , get and the paint job on his face is less than , stellar",negative
I swear . .. . . by this stuff I as soon as I feel anything funky in throat my work in public i Especialy use it on airplanes where the air is at best questionable size Good for travel,positive
altho they are only out 2 the four would go over a wood . the two other I could not even over Hybrid my get . one also has a hole in it after using for just 2 weeks .. the hole is not possibly that could be stressed would not again buy anywhere .... .. nice,negative
"charms are bright . , nice painted",positive
"I bought , times many products very good",positive
"These are through . ... see if you bend at all they are . , perfect for you If you dont bend",negative
product . . Good but some may find the accelerator cover difficult to install Takes strength significant manual and instructions could be better,positive
I bought . ! . as a gift birthday for my dad this product He absolutely loved it and I It exactly as advertised 's so did,positive
These are by far the worst ever I saw . Quality is horrible and the plates poorly are not worth the money you pay made . plates,negative
"I ’m sure . . this item would ’ve been great , I had received it They delivered it to some stranger and , let him sign for it and , keep it",negative
A must for builds pc and any project electronic . It also works like a datasheet with from brands different and dimensions specs many interesting have,positive
"I purchased . . . for the corner of my shower this Instructions were simple , easy to follow I ’ve it up for a month now and it seems sturdy and doing the job had complaint only My so far . , is that I ordered the shelfs with hooks and I received without ones",positive
These headphones needed . to be returned they never worked,negative
filled with candies for kids as a gift shower . Lol .. Beautiful,positive
These are great !!! ! Definitely get the ones strawberry,positive
"Really like . . . the set crank arm I did have to add . loctite more blue to pinch bolts Because they would loosen Not a deal , big still very happy with it",positive
"Very pleased . . . . . . with this vinyl glitter adhesive I needed sheets small and an assortment of colors this was so perfect for project my It perfectly cut with 2 air Cricut Explore my glitter vinyl ( settings ) , custom I did a cut test 1st to ensure settings my were correct It cut like butter and weeded and was the touch perfect for my project Very pleased with the product and assortment of colors",positive
Purchased . . in the past for husband my They are very large and quality good,positive
"Seem , . like Huggies fake I was , diapers awesome bought some from costco but these are too light keep on leaking",negative
didnt like the way the sheets feel with on it,negative
it is required although a pain to do this step necessary,positive
"The ordering process was super easy . . . , the product quickly shipped and was received in order perfect these snack bars are Even better , tasty and flavor amazing , consistency great I 'll eat these every day as a snack quick in between meals",positive
Bought . . in the March this product and headlight right my out now twice has but one of the bulbs is faulty for whatever reason gone Lights look great,negative
"The feature , main on this system the wireless charging dock , stopped after just 5 months charging it ’s a . , complaint !!!! very common After doing a research little",negative
Came . . . pieces missing Incredibly Tricky to together the part top put flimsy . Would n’t this again buy,negative
"Awesome . that it came , in a pack of 10 for 8 $ way than autozone or anywhere else cheaper but the thing only is that it 's not as as I hope bright but it and I 'm happy with it does what it need to do",positive
size . . . . . Nice for like me people single Instructions say microwave it for 3.5 minutes I like rice my more a little softer I so and microwave it for another 2 minutes add water more after the 3.5 minutes I just wish they as much didn't cost as they do One dollar per cup is a bit high,positive
I ’ve had . less then three months these and they all have and not will charge iPhone my stopped working,negative
Too big . for face my,negative
We love . ! it perfectly Works coverage Good,positive
Giving . ” . . . two ONLY stars because it is working Item is looks to have been as it has three chunks small / scrapes on it and had smudges finger print on it dropped used ... Box was sealed and item looked “ new in box I ’ve noticed by far I ’m not the first to about being sold a product used by this seller complain,negative
not Did work . in once it was the water the pouch camp up water in letting opening God phone my is waterproof thank,negative
I very much like . . . this holder phone Does exactly what I expected It is not bulky . shade Pretty of purple,positive
"Nothing . . . . special to here see but certainly not the worst but it significantly dulls the sound of the earbuds I so removed them to help protect the longevity of the product not the , earbuds best cheapo Comfy and in well enough for the treadmill stay "" complaint "" Only would be the small of plastic covering the openings to the drivers bit I 'm it was there sure",positive
I 've owned . !! mats much more expensive / tried and haven't found on any better that performs than this one and it is truly easy to clean but I will say this one was a buy great for the money There so many out there today and its hard to filter through all of them or to truly know which is better are,positive
