répond au tchat du chef de l’ église avec un SMS	[IN:SEND_MESSAGE [SL:GROUP chef de l’ église SL:GROUP] IN:SEND_MESSAGE]
Montre - moi les messages de mon petit - fils Sergio	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:TYPE_RELATION petit - fils SL:TYPE_RELATION]     [SL:CONTACT Sergio SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Obtenez - moi mes messages vidéo de ma partenaire Marlee	[IN:GET_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED ma SL:CONTACT_RELATED]     [SL:TYPE_RELATION partenaire SL:TYPE_RELATION]     [SL:CONTACT Marlee SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Pourrais - tu , peux - tu envoyer un message à Stacy sur Messagerie	[IN:SEND_MESSAGE [SL:RECIPIENT Stacy SL:RECIPIENT] [SL:NAME_APP Messagerie SL:NAME_APP] IN:SEND_MESSAGE]
Peux - tu envoyer Sparks par WhatsApp pour te parler plus tard	[IN:SEND_MESSAGE [SL:RECIPIENT Sparks SL:RECIPIENT] [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTENT_EXACT te parler plus tard SL:CONTENT_EXACT] IN:SEND_MESSAGE]
j’ aimerais envoyer un message à Ned sur Messagerie qui semble bon	[IN:SEND_MESSAGE [SL:RECIPIENT Ned SL:RECIPIENT] [SL:NAME_APP Messagerie SL:NAME_APP] [SL:CONTENT_EXACT semble bon SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Envoie le texte sur Facebook	[IN:SEND_MESSAGE [SL:NAME_APP Facebook SL:NAME_APP] IN:SEND_MESSAGE]
Il faut que tu envoies le texte sur Messagerie	[IN:SEND_MESSAGE [SL:NAME_APP Messagerie SL:NAME_APP] IN:SEND_MESSAGE]
Je voudrais envoyer le message WhatsApp	[IN:SEND_MESSAGE [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
J' ai besoin que tu envoies ce message vidéo sur Facebook	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:NAME_APP Facebook SL:NAME_APP] IN:SEND_MESSAGE]
J’ ai besoin que tu envoies ce message sur Facebook	[IN:SEND_MESSAGE [SL:NAME_APP Facebook SL:NAME_APP] IN:SEND_MESSAGE]
Envoie ce message vidéo par Facebook	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:NAME_APP Facebook SL:NAME_APP] IN:SEND_MESSAGE]
Rédige un message vidéo sur WhatsApp	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
Montre - moi les messages de Leonid via Messagerie	[IN:GET_MESSAGE [SL:RECIPIENT Leonid SL:RECIPIENT] [SL:NAME_APP Messagerie SL:NAME_APP] IN:GET_MESSAGE]
appelle Horace Tyler	[IN:CREATE_CALL [SL:CONTACT Horace Tyler SL:CONTACT] IN:CREATE_CALL]
s’ il te plait appelle le 5551575	[IN:CREATE_CALL [SL:PHONE_NUMBER 5551575 SL:PHONE_NUMBER] IN:CREATE_CALL]
appelle 3105555774 depuis mon téléphone portable	[IN:CREATE_CALL [SL:PHONE_NUMBER 3105555774 SL:PHONE_NUMBER] IN:CREATE_CALL]
peux - tu me trouver Isaiah	[IN:GET_CONTACT [SL:CONTACT Isaiah SL:CONTACT] IN:GET_CONTACT]
Je veux tenir Katelyn Patton au courant	[IN:CREATE_CALL [SL:CONTACT Katelyn Patton SL:CONTACT] IN:CREATE_CALL]
J' aimerai faire un appel sur Messagerie avec mes cousins Angel , Malik , Josiah et Jesus	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mes SL:CONTACT_RELATED]     [SL:TYPE_RELATION cousins SL:TYPE_RELATION]     [SL:CONTACT Angel SL:CONTACT]     [SL:CONTACT Malik SL:CONTACT]     [SL:CONTACT Josiah SL:CONTACT]     [SL:CONTACT Jesus SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Messagerie SL:NAME_APP] IN:CREATE_CALL]
Veuillez composer les numéros de Kiera Farley et Nolan Fernandez	[IN:CREATE_CALL [SL:CONTACT Kiera Farley SL:CONTACT] [SL:CONTACT Nolan Fernandez SL:CONTACT] IN:CREATE_CALL]
Lance un appel avec Brandon , Bailey , et Blake sur Line	[IN:CREATE_CALL [SL:CONTACT Brandon SL:CONTACT] [SL:CONTACT Bailey SL:CONTACT] [SL:CONTACT Blake SL:CONTACT] [SL:NAME_APP Line SL:NAME_APP] IN:CREATE_CALL]
appelle Mia , Kyra , Alan et Noe sur Hangouts	[IN:CREATE_CALL [SL:CONTACT Mia SL:CONTACT] [SL:CONTACT Kyra SL:CONTACT] [SL:CONTACT Alan SL:CONTACT] [SL:CONTACT Noe SL:CONTACT] [SL:NAME_APP Hangouts SL:NAME_APP] IN:CREATE_CALL]
Peux - tu me connecter au rendez - vous de jeu de ma fille sur Wechat	[IN:CREATE_CALL [SL:GROUP rendez - vous de jeu de ma fille SL:GROUP] [SL:NAME_APP Wechat SL:NAME_APP] IN:CREATE_CALL]
Démarrez un appel vidéo avec Visual Arts	[IN:CREATE_CALL [SL:GROUP Visual Arts SL:GROUP] IN:CREATE_CALL]
Peux - tu me connecter au groupe des Amoureux du Café	[IN:CREATE_CALL [SL:GROUP Amoureux du Café SL:GROUP] IN:CREATE_CALL]
Quel temps fera - t - il à 9h du matin ?	[IN:GET_WEATHER [SL:DATE_TIME à 9h du matin SL:DATE_TIME] IN:GET_WEATHER]
Pourriez - vous démarrer un appel vidéo ?	[IN:CREATE_CALL  IN:CREATE_CALL]
Répond peut - être pour cet évènement	[IN:SET_RSVP_INTERESTED  IN:SET_RSVP_INTERESTED]
pour dire de ne pas aller voir An Evening with Debra Messing	[IN:SET_RSVP_NO [SL:TITLE_EVENT An Evening with Debra Messing SL:TITLE_EVENT] IN:SET_RSVP_NO]
change mon statut pour afficher que je vais à Dia de los Muertos	[IN:SET_RSVP_YES [SL:TITLE_EVENT Dia de los Muertos SL:TITLE_EVENT] IN:SET_RSVP_YES]
Mettez mon statut comme intéressé par Brickpalooza	[IN:SET_RSVP_INTERESTED [SL:TITLE_EVENT Brickpalooza SL:TITLE_EVENT] IN:SET_RSVP_INTERESTED]
va pas à la fête de San Gennaro	[IN:SET_RSVP_NO [SL:TITLE_EVENT fête de San Gennaro SL:TITLE_EVENT] IN:SET_RSVP_NO]
Changez mon statut à ne pas aller pour la fête de Dia de los Muertos	[IN:SET_RSVP_NO [SL:TITLE_EVENT Dia de los Muertos SL:TITLE_EVENT] IN:SET_RSVP_NO]
répondre non à l' invitation pour le Comic Con	[IN:SET_RSVP_NO [SL:TITLE_EVENT Comic Con SL:TITLE_EVENT] IN:SET_RSVP_NO]
je voudrais que whatsapp soit mon appli par défaut pour les appels	[IN:SET_DEFAULT_PROVIDER_CALLING [SL:NAME_APP whatsapp SL:NAME_APP] IN:SET_DEFAULT_PROVIDER_CALLING]
Arrête de rédiger le texto	[IN:CANCEL_MESSAGE  IN:CANCEL_MESSAGE]
Est - ce que George Lakoff m' a envoyé des messages ?	[IN:GET_MESSAGE [SL:CONTACT George Lakoff SL:CONTACT] [SL:RECIPIENT m' SL:RECIPIENT] IN:GET_MESSAGE]
Faites un sorte que le minuteur fasse une pause	[IN:PAUSE_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:PAUSE_TIMER]
peux - tu mettre le minuteur en sourdine	[IN:PAUSE_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:PAUSE_TIMER]
Programmez un minuteur pour 18 minutes et un autre pour 20 minutes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] [SL:DATE_TIME pour 18 minutes SL:DATE_TIME] [SL:AMOUNT un autre SL:AMOUNT] [SL:DATE_TIME pour 20 minutes SL:DATE_TIME] IN:CREATE_TIMER]
continue le minuteur	[IN:RESUME_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:RESUME_TIMER]
Créez un minuteur pour 60 secondes et une deuxième pour 17 minutes	[IN:CREATE_TIMER [SL:AMOUNT une SL:AMOUNT] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] [SL:DATE_TIME pour 60 secondes SL:DATE_TIME] [SL:ORDINAL deuxième SL:ORDINAL] [SL:DATE_TIME pour 17 minutes SL:DATE_TIME] IN:CREATE_TIMER]
Tu peux arrêter ce minuteur pour l' entraînement	[IN:DELETE_TIMER [SL:TIMER_NAME entraînement SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:DELETE_TIMER]
Ajoute encore 25 minutes au minuteur pour pomodoro	[IN:ADD_TIME_TIMER [SL:DATE_TIME 25 minutes SL:DATE_TIME] [SL:TIMER_NAME pomodoro SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Merci de créer un minuteur de 45 minutes et nomme - le invités , merci de partir	[IN:CREATE_TIMER [SL:DATE_TIME de 45 minutes SL:DATE_TIME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] [SL:TIMER_NAME invités , merci de partir SL:TIMER_NAME] IN:CREATE_TIMER]
Appelez la femme de Ruth Pacheco	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION femme SL:TYPE_RELATION]     [SL:CONTACT_RELATED Ruth Pacheco SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appel la mamie de Rose	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Rose SL:CONTACT_RELATED]     [SL:TYPE_RELATION mamie SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelez la maman de Christopher Thomas	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Christopher Thomas SL:CONTACT_RELATED]     [SL:TYPE_RELATION maman SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelez le partenaire de Melanie Suarez	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION partenaire SL:TYPE_RELATION]     [SL:CONTACT_RELATED Melanie Suarez SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appelle la femme de Brynn Tyler	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION femme SL:TYPE_RELATION]     [SL:CONTACT_RELATED Brynn Tyler SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Appele l' oncle de Iker Khan	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION oncle SL:TYPE_RELATION]     [SL:CONTACT_RELATED Iker Khan SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
peux - tu appeler la maman de Mariana , Hadley Peterson	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Mariana SL:CONTACT_RELATED]     [SL:TYPE_RELATION maman SL:TYPE_RELATION]     [SL:CONTACT Hadley Peterson SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
appelle mon frère en vidéoconférence sur Whatsapp	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION frère SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
appelle Jayla sur Whatsapp	[IN:CREATE_CALL [SL:CONTACT Jayla SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Appelle la vidéo Whatsapp de John Mcguire	[IN:CREATE_CALL [SL:CONTACT John Mcguire SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
sur Whatsapp appeler le portable d' Ann Pennington	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Ann Pennington SL:CONTACT] IN:CREATE_CALL]
appelle Mason par conversation vidéo Whatsapp .	[IN:CREATE_CALL [SL:CONTACT Mason SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
appelle mon contact Whatsapp Lilah Carey	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Lilah Carey SL:CONTACT] IN:CREATE_CALL]
appelle mon contact Whatsapp Russell	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Russell SL:CONTACT] IN:CREATE_CALL]
Appelle Gianna parmi mes contacts Whatsapp	[IN:CREATE_CALL [SL:CONTACT Gianna SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
appelle Jaxson dans mes contacts Whatsapp	[IN:CREATE_CALL [SL:CONTACT Jaxson SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
appelle Kallie Davis en vidéo sur Whatsapp	[IN:CREATE_CALL [SL:CONTACT Kallie Davis SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
ajoute au minuteur des Pompes	[IN:ADD_TIME_TIMER [SL:TIMER_NAME Pompes SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Rajoute 11 minutes au minuteur Graines de citrouille	[IN:ADD_TIME_TIMER [SL:DATE_TIME 11 minutes SL:DATE_TIME] [SL:TIMER_NAME Graines de citrouille SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
ajoute 11 minutes au minuteur des pompes	[IN:ADD_TIME_TIMER [SL:TIMER_NAME pompes SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] [SL:DATE_TIME 11 minutes SL:DATE_TIME] IN:ADD_TIME_TIMER]
continue avec Tu n'as pas fini de courir jusqu'à ce que se déclenche le minuteur	[IN:RESUME_TIMER [SL:TIMER_NAME   Tu   n'as   pas   fini   de   courir   jusqu'à   ce   que   se   déclenche SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:RESUME_TIMER]
Jouez du Jay Z	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Jay Z SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
mets du Bach	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Bach SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Joue du Bruno Mars	[IN:PLAY_MUSIC [SL:MUSIC_ARTIST_NAME Bruno Mars SL:MUSIC_ARTIST_NAME] IN:PLAY_MUSIC]
Faites d' amazon music mon application de musique , s' il vous plaît	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME amazon music SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Je veux que mon application musicale soit Spotify	[IN:SET_DEFAULT_PROVIDER_MUSIC [SL:MUSIC_PROVIDER_NAME Spotify SL:MUSIC_PROVIDER_NAME] IN:SET_DEFAULT_PROVIDER_MUSIC]
Créer un minuteur de 80 secondes , deux heures , et dix secondes	[IN:CREATE_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] [SL:DATE_TIME de 80 secondes SL:DATE_TIME] [SL:DATE_TIME deux heures SL:DATE_TIME] [SL:DATE_TIME dix secondes SL:DATE_TIME] IN:CREATE_TIMER]
s’ il te plait enlève le minuteur	[IN:DELETE_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:DELETE_TIMER]
Programmez une alarme pour 21h les lundis et mardis	[IN:CREATE_ALARM [SL:DATE_TIME pour 21h les lundis et mardis SL:DATE_TIME] IN:CREATE_ALARM]
Règle un minuteur Œufs	[IN:CREATE_TIMER [SL:TIMER_NAME Œufs SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:CREATE_TIMER]
Crée un minuteur de décongélation de la dinde	[IN:CREATE_TIMER [SL:TIMER_NAME décongélation de la dinde SL:TIMER_NAME] [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:CREATE_TIMER]
Recommandez quelques événements où les chiens sont bienvenus	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT où les chiens sont bienvenus SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Je veux voir des événements qui plaisent à mes amis	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT plaisent SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Je veux voir des évènements pour toute la famille	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT pour toute la famille SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Je veux voir plus d' évènements qui sont pour les chiens	[IN:GET_EVENT [SL:ATTRIBUTE_EVENT pour les chiens SL:ATTRIBUTE_EVENT] IN:GET_EVENT]
Partage ce premier évènement avec Beckett	[IN:SHARE_EVENT [SL:ORDINAL premier SL:ORDINAL] [SL:CONTACT Beckett SL:CONTACT] IN:SHARE_EVENT]
Réponds peut - être à cet évènement	[IN:SET_RSVP_INTERESTED  IN:SET_RSVP_INTERESTED]
Trouve des couvertures de Tiger Woods .	[IN:PLAY_MEDIA [SL:MUSIC_ARTIST_NAME Tiger Woods SL:MUSIC_ARTIST_NAME] IN:PLAY_MEDIA]
Appelle Melissa Maldonado sur WhatsApp	[IN:CREATE_CALL [SL:CONTACT Melissa Maldonado SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Appelle Elaina Baxter sur Messagerie s' il vous plaît	[IN:CREATE_CALL [SL:CONTACT Elaina Baxter SL:CONTACT] [SL:NAME_APP Messagerie SL:NAME_APP] IN:CREATE_CALL]
sur Messagerie appelle James Petersen	[IN:CREATE_CALL [SL:NAME_APP Messagerie SL:NAME_APP] [SL:CONTACT James Petersen SL:CONTACT] IN:CREATE_CALL]
je veux laisser un enregistrement vidéo pour Emma	[IN:SEND_MESSAGE [SL:RECIPIENT Emma SL:RECIPIENT] [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] IN:SEND_MESSAGE]
Veuillez enregistrer le message vidéo pour ma fille	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT [IN:GET_CONTACT [SL:TYPE_RELATION fille SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Je veux que tu enregistres un message vidéo pour Haven comme elle n’est pas disponible à l’ instant	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT Haven SL:RECIPIENT] IN:SEND_MESSAGE]
Enregistrez un message vidéo pour Bobbi Beth .	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT Bobbi Beth SL:RECIPIENT] IN:SEND_MESSAGE]
Enregistre un message vidéo pour mon enfant et envoie - le - lui .	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mon SL:CONTACT_RELATED]     [SL:TYPE_RELATION enfant SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Enregistre ce message vidéo pour Ok Skripko , s’ il te plaît	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT Ok Skripko SL:RECIPIENT] IN:SEND_MESSAGE]
peux - tu enregistrer un message vidéo pour Dessie Menapace	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT Dessie Menapace SL:RECIPIENT] IN:SEND_MESSAGE]
je veux que tu enregistres un message vidéo pour Heather Trumbo car elle n'est pas disponible actuellement	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT Heather Trumbo SL:RECIPIENT] IN:SEND_MESSAGE]
laisser un enregistrement vidéo pour Gino Hinkley	[IN:SEND_MESSAGE [SL:TYPE_CONTENT vidéo SL:TYPE_CONTENT] [SL:RECIPIENT Gino Hinkley SL:RECIPIENT] IN:SEND_MESSAGE]
appelle Kenneth WhatsApp	[IN:CREATE_CALL [SL:CONTACT Kenneth SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Voudriez - vous programmer une alarme pour dans cinq minutes à partir de maintenant ?	[IN:CREATE_ALARM [SL:DATE_TIME pour dans cinq minutes à partir de maintenant SL:DATE_TIME] IN:CREATE_ALARM]
règle - moi un minuteur	[IN:CREATE_TIMER [SL:METHOD_TIMER minuteur SL:METHOD_TIMER] IN:CREATE_TIMER]
Appelle Escobar et Madden	[IN:CREATE_CALL [SL:CONTACT Escobar SL:CONTACT] [SL:CONTACT Madden SL:CONTACT] IN:CREATE_CALL]
appelle Brown et Garcia	[IN:CREATE_CALL [SL:CONTACT Brown SL:CONTACT] [SL:CONTACT Garcia SL:CONTACT] IN:CREATE_CALL]
Fais enlever Hailey Fischer de l' appel de groupe	[IN:UPDATE_CALL [SL:CONTACT_REMOVED Hailey Fischer SL:CONTACT_REMOVED] IN:UPDATE_CALL]
Fais taire l’ alarme	[IN:SNOOZE_ALARM  IN:SNOOZE_ALARM]
dois - je porter un chasuble demain ?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE chasuble SL:WEATHER_ATTRIBUTE] [SL:DATE_TIME demain SL:DATE_TIME] IN:GET_WEATHER]
liste d' amis s' il te plaît	[IN:GET_CONTACT [SL:TYPE_RELATION amis SL:TYPE_RELATION] IN:GET_CONTACT]
Merci d' appeler Patrick tout de suite	[IN:CREATE_CALL [SL:CONTACT Patrick SL:CONTACT] IN:CREATE_CALL]
Appelle Jonathan tout de suite .	[IN:CREATE_CALL [SL:CONTACT Jonathan SL:CONTACT] IN:CREATE_CALL]
Appelle Joseph quatre	[IN:CREATE_CALL [SL:CONTACT Joseph SL:CONTACT] [SL:ORDINAL quatre SL:ORDINAL] IN:CREATE_CALL]
appelle Michelle numéro trois	[IN:CREATE_CALL [SL:CONTACT Michelle SL:CONTACT] [SL:ORDINAL trois SL:ORDINAL] IN:CREATE_CALL]
Qui va à Halloween Pumpkin Flotilla ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT Halloween Pumpkin Flotilla SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Y a - t - il des gens que je connais qui assiste a Tiny Living Festival ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT Tiny Living Festival SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Qui assiste à « Katja Petrowskaja : A Family Story Between Memory and Forgetting » ?	[IN:GET_ATTENDEE_EVENT [SL:TITLE_EVENT   Katja   Petrowskaja   :   A   Family   Story   Between   Memory   and   Forgetting SL:TITLE_EVENT] IN:GET_ATTENDEE_EVENT]
Je voudrais que tu me dises quand le premier évènement commence	[IN:GET_DATE_TIME_EVENT [SL:ORDINAL premier SL:ORDINAL] IN:GET_DATE_TIME_EVENT]
Je veux que tu m' informes quand cet évènement débutera	[IN:GET_DATE_TIME_EVENT  IN:GET_DATE_TIME_EVENT]
Montre - moi d’ autres concerts de musique .	[IN:GET_EVENT [SL:CATEGORY_EVENT concerts de musique SL:CATEGORY_EVENT] IN:GET_EVENT]
