Antworte im Chat mit der Kirchenführung	[IN:SEND_MESSAGE [SL:GROUP Kirchenführung SL:GROUP] IN:SEND_MESSAGE]
Schicke bitte Audrey und Vlad eine Nachricht	[IN:SEND_MESSAGE [SL:RECIPIENT Audrey SL:RECIPIENT] [SL:RECIPIENT Vlad SL:RECIPIENT] IN:SEND_MESSAGE]
Ich möchte die Nachricht gerne an meine Eltern schicken	[IN:SEND_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meine SL:CONTACT_RELATED]     [SL:TYPE_RELATION Eltern SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:SEND_MESSAGE]
Würdest du Bill Murray und Max schreiben	[IN:SEND_MESSAGE [SL:RECIPIENT Bill Murray SL:RECIPIENT] [SL:RECIPIENT Max SL:RECIPIENT] IN:SEND_MESSAGE]
Ich möchte , dass du Kayla schreibst	[IN:SEND_MESSAGE [SL:RECIPIENT Kayla SL:RECIPIENT] IN:SEND_MESSAGE]
Gib mir meine Textnachrichten von AJ und Alex	[IN:GET_MESSAGE [SL:RECIPIENT AJ SL:RECIPIENT] [SL:RECIPIENT Alex SL:RECIPIENT] IN:GET_MESSAGE]
Ich möchte , dass du Steve schreibst	[IN:SEND_MESSAGE [SL:RECIPIENT Steve SL:RECIPIENT] IN:SEND_MESSAGE]
Welche Nachrichten sind von Leon	[IN:GET_MESSAGE [SL:SENDER Leon SL:SENDER] IN:GET_MESSAGE]
Lass mich Nachrichten von meiner Lebensgefährtin Isabella sehen	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Lebensgefährtin SL:TYPE_RELATION]     [SL:CONTACT Isabella SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Zeige meine Nachrichten von meinem Freund an	[IN:GET_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinem SL:CONTACT_RELATED]     [SL:TYPE_RELATION Freund SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:GET_MESSAGE]
Sehen wir uns Nachrichten von Valeria an	[IN:GET_MESSAGE [SL:SENDER Valeria SL:SENDER] IN:GET_MESSAGE]
Gib mir die Nachrichten von meiner Frau Brycen	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Frau SL:TYPE_RELATION]     [SL:CONTACT Brycen SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Lass mich die Nachrichten meiner Tante sehen	[IN:GET_MESSAGE [SL:RECIPIENT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Tante SL:TYPE_RELATION] IN:GET_CONTACT] SL:RECIPIENT] IN:GET_MESSAGE]
Zeige mir meine Nachrichten von Kind Ryker	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT [SL:TYPE_RELATION Kind SL:TYPE_RELATION] [SL:CONTACT Ryker SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Lass mich Nachrichten von meiner Schwester Journee sehen	[IN:GET_MESSAGE [SL:SENDER   [IN:GET_CONTACT     [SL:CONTACT_RELATED meiner SL:CONTACT_RELATED]     [SL:TYPE_RELATION Schwester SL:TYPE_RELATION]     [SL:CONTACT Journee SL:CONTACT] IN:GET_CONTACT] SL:SENDER] IN:GET_MESSAGE]
Zeige mir meine Nachrichten auf WhatsApp	[IN:GET_MESSAGE [SL:NAME_APP WhatsApp SL:NAME_APP] IN:GET_MESSAGE]
Würdest du einen Text an Stacy per Messenger schicken	[IN:SEND_MESSAGE [SL:RECIPIENT Stacy SL:RECIPIENT] [SL:NAME_APP Messenger SL:NAME_APP] IN:SEND_MESSAGE]
Schicke diesen Messenger - Text	[IN:SEND_MESSAGE [SL:NAME_APP Messenger SL:NAME_APP] IN:SEND_MESSAGE]
Ich würde Jimmy gerne diese WhatsApp - Nachricht schicken	[IN:SEND_MESSAGE [SL:CONTACT Jimmy SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
Wer hat mir auf Facebook geschrieben	[IN:GET_MESSAGE_CONTACT [SL:RECIPIENT mir SL:RECIPIENT] [SL:NAME_APP Facebook SL:NAME_APP] IN:GET_MESSAGE_CONTACT]
Schreibe Ben über dne Messenger , dass das gut klingt	[IN:SEND_MESSAGE [SL:RECIPIENT Ben SL:RECIPIENT] [SL:NAME_APP Messenger SL:NAME_APP] [SL:CONTENT_EXACT gut klingt SL:CONTENT_EXACT] IN:SEND_MESSAGE]
Zeige mir die Texte von Janice auf Facebook	[IN:GET_MESSAGE [SL:RECIPIENT Janice SL:RECIPIENT] [SL:NAME_APP Facebook SL:NAME_APP] IN:GET_MESSAGE]
Ich möchte den WhatsApp - Text schicken	[IN:SEND_MESSAGE [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SEND_MESSAGE]
Zeige mir Nachrichten von Em auf Whatsapp	[IN:GET_MESSAGE [SL:RECIPIENT Em SL:RECIPIENT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:GET_MESSAGE]
Lies meine Messenger - Nachrichten	[IN:GET_MESSAGE [SL:NAME_APP Messenger SL:NAME_APP] IN:GET_MESSAGE]
Hat Lauren mir irgendwas per Messenger geschickt	[IN:GET_MESSAGE [SL:SENDER Lauren SL:SENDER] [SL:RECIPIENT mir SL:RECIPIENT] [SL:NAME_APP Messenger SL:NAME_APP] IN:GET_MESSAGE]
Zeig mir Nachrichten von Patrick über WhatsApp	[IN:GET_MESSAGE [SL:RECIPIENT Patrick SL:RECIPIENT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:GET_MESSAGE]
Kannst du Fox & Friends Live Nachrichten zeigen	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Fox & Friends SL:NEWS_SOURCE] [SL:NEWS_TYPE Live SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Kannst du die Nachrichten auf Kanal 9 live zeigen	[IN:GET_STORIES_NEWS [SL:NEWS_SOURCE Nachrichten auf Kanal 9 SL:NEWS_SOURCE] [SL:NEWS_TYPE live SL:NEWS_TYPE] IN:GET_STORIES_NEWS]
Folge Bon Iver	[IN:FOLLOW_MUSIC [SL:MUSIC_ARTIST_NAME Bon Iver SL:MUSIC_ARTIST_NAME] IN:FOLLOW_MUSIC]
Rufe Christina Harvey an	[IN:CREATE_CALL [SL:CONTACT Christina Harvey SL:CONTACT] IN:CREATE_CALL]
Rufe Horace Tyler an	[IN:CREATE_CALL [SL:CONTACT Horace Tyler SL:CONTACT] IN:CREATE_CALL]
Rufe Karl an	[IN:CREATE_CALL [SL:CONTACT Karl SL:CONTACT] IN:CREATE_CALL]
Rufe Brad an	[IN:CREATE_CALL [SL:CONTACT Brad SL:CONTACT] IN:CREATE_CALL]
Wähle die 555 - 7533	[IN:CREATE_CALL [SL:PHONE_NUMBER 555 - 7533 SL:PHONE_NUMBER] IN:CREATE_CALL]
Wähle 555 - 0522	[IN:CREATE_CALL [SL:PHONE_NUMBER 555 - 0522 SL:PHONE_NUMBER] IN:CREATE_CALL]
Bitte wähle 5551575	[IN:CREATE_CALL [SL:PHONE_NUMBER 5551575 SL:PHONE_NUMBER] IN:CREATE_CALL]
Ich würde mit meinem Handy gerne 5685552987 anrufen	[IN:CREATE_CALL [SL:PHONE_NUMBER 5685552987 SL:PHONE_NUMBER] IN:CREATE_CALL]
Kannst du die 814 - 555 - 0487 mit meinem Handy anrufen	[IN:CREATE_CALL [SL:PHONE_NUMBER 814 - 555 - 0487 SL:PHONE_NUMBER] IN:CREATE_CALL]
Bitte rufe 3105555774 von meinem Handy an	[IN:CREATE_CALL [SL:PHONE_NUMBER 3105555774 SL:PHONE_NUMBER] IN:CREATE_CALL]
Ich möchte 555 - 9463 über Pixel anrufen	[IN:CREATE_CALL [SL:PHONE_NUMBER 555 - 9463 SL:PHONE_NUMBER] IN:CREATE_CALL]
Kannst du Isaiah für mich finden	[IN:GET_CONTACT [SL:CONTACT Isaiah SL:CONTACT] IN:GET_CONTACT]
Rufe Emilia Morse an	[IN:CREATE_CALL [SL:CONTACT Emilia Morse SL:CONTACT] IN:CREATE_CALL]
Ich würde gerne mit meinen Cousins und Cousinen Britney , John , Jacob und Michaela auf Whatsapp telefonieren	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Cousins SL:TYPE_RELATION]     [SL:CONTACT Britney SL:CONTACT]     [SL:CONTACT John SL:CONTACT]     [SL:CONTACT Jacob SL:CONTACT]     [SL:CONTACT Michaela SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Ich möchte gerne mit meinen Cousinen Ashlyn , Linda , Chloe , und Angel über Whatsapp telefonieren	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Cousinen SL:TYPE_RELATION]     [SL:CONTACT Ashlyn SL:CONTACT]     [SL:CONTACT Linda SL:CONTACT]     [SL:CONTACT Chloe SL:CONTACT]     [SL:CONTACT Angel SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Starte einen Videoanruf mit meinen Freunden Jackson , Miguel , Dylan und Kaitlyn per Messenger	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Freunden SL:TYPE_RELATION]     [SL:CONTACT Jackson SL:CONTACT]     [SL:CONTACT Miguel SL:CONTACT]     [SL:CONTACT Dylan SL:CONTACT]     [SL:CONTACT Kaitlyn SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
Ich möchte einen Anruf mit Phillip Leonard und Kody Frye über Slack	[IN:CREATE_CALL [SL:CONTACT Phillip Leonard SL:CONTACT] [SL:CONTACT Kody Frye SL:CONTACT] [SL:NAME_APP Slack SL:NAME_APP] IN:CREATE_CALL]
Wähle bitte James Torres , Marissa Welch und Natasha Fleming	[IN:CREATE_CALL [SL:CONTACT James Torres SL:CONTACT] [SL:CONTACT Marissa Welch SL:CONTACT] [SL:CONTACT Natasha Fleming SL:CONTACT] IN:CREATE_CALL]
Ich würde gerne Brian und Louis anrufen	[IN:CREATE_CALL [SL:CONTACT Brian SL:CONTACT] [SL:CONTACT Louis SL:CONTACT] IN:CREATE_CALL]
Erstelle für mich einen Videoanruf mit Reagan , Charles und Alina	[IN:CREATE_CALL [SL:CONTACT Reagan SL:CONTACT] [SL:CONTACT Charles SL:CONTACT] [SL:CONTACT Alina SL:CONTACT] IN:CREATE_CALL]
Starte einen Anruf mit den Drama - Nerds	[IN:CREATE_CALL [SL:GROUP Drama - Nerds SL:GROUP] IN:CREATE_CALL]
Führe einen Videoanruf mit Knitting durch	[IN:CREATE_CALL [SL:GROUP Knitting SL:GROUP] IN:CREATE_CALL]
Ich möchte meine Fotographen - Gruppe anrufen	[IN:CREATE_CALL [SL:GROUP Fotographen - SL:GROUP] IN:CREATE_CALL]
Wie soll das Wetter um neun sein	[IN:GET_WEATHER [SL:DATE_TIME um neun SL:DATE_TIME] IN:GET_WEATHER]
Könntest du einen Videoanruf starten	[IN:CREATE_CALL  IN:CREATE_CALL]
Kannst du WhatsApp - Kontake anrufen	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Stelle meine Zusage für diese Veranstaltung auf „ vielleicht "	[IN:SET_RSVP_INTERESTED  IN:SET_RSVP_INTERESTED]
Stelle meinen Status zu gehe zur ersten Veranstaltung	[IN:SET_RSVP_YES [SL:ORDINAL ersten SL:ORDINAL] IN:SET_RSVP_YES]
Setze meinen Status auf gehe zu Dia de los Muertos	[IN:SET_RSVP_YES [SL:TITLE_EVENT Dia de los Muertos SL:TITLE_EVENT] IN:SET_RSVP_YES]
Setze meinen Status für Brickpalooza auf interessiert	[IN:SET_RSVP_INTERESTED [SL:TITLE_EVENT Brickpalooza SL:TITLE_EVENT] IN:SET_RSVP_INTERESTED]
Ändere meinen Status zu gehe nicht zu Sleeping Beauty Dreams	[IN:SET_RSVP_NO [SL:TITLE_EVENT Sleeping Beauty Dreams SL:TITLE_EVENT] IN:SET_RSVP_NO]
RSVP vielleicht für das zweite Event	[IN:SET_RSVP_INTERESTED [SL:ORDINAL zweite SL:ORDINAL] IN:SET_RSVP_INTERESTED]
interessiert , zu Roxanne Dunbar - Ortiz mit Nikkita Oliver zu gehen	[IN:SET_RSVP_INTERESTED [SL:TITLE_EVENT Roxanne Dunbar - Ortiz mit Nikkita Oliver SL:TITLE_EVENT] IN:SET_RSVP_INTERESTED]
Antworte bitte ja an Demonology 101	[IN:SET_RSVP_YES [SL:TITLE_EVENT Demonology 101 SL:TITLE_EVENT] IN:SET_RSVP_YES]
Ändere meinen Status zu gehe nicht zum Dia de los Muertos	[IN:SET_RSVP_NO [SL:TITLE_EVENT Dia de los Muertos SL:TITLE_EVENT] IN:SET_RSVP_NO]
Ändere meinen Status dazu , dass ich zu Naomi Klein zum Green New Deal gehe	[IN:SET_RSVP_YES [SL:TITLE_EVENT Naomi Klein zum Green New Deal SL:TITLE_EVENT] IN:SET_RSVP_YES]
Wer hat mir geschrieben ?	[IN:GET_MESSAGE_CONTACT [SL:RECIPIENT mir SL:RECIPIENT] IN:GET_MESSAGE_CONTACT]
Wer schrieb mir , wer ist das	[IN:GET_MESSAGE_CONTACT [SL:RECIPIENT mir SL:RECIPIENT] [SL:CONTENT_EXACT wer ist das SL:CONTENT_EXACT] IN:GET_MESSAGE_CONTACT]
Wer schickte diese letzte Nachricht	[IN:GET_MESSAGE_CONTACT [SL:ORDINAL letzte SL:ORDINAL] IN:GET_MESSAGE_CONTACT]
Klingel Phillip an	[IN:CREATE_CALL [SL:CONTACT Phillip SL:CONTACT] IN:CREATE_CALL]
Gib mir einen Timer , der 2 Stunden dauern wird	[IN:CREATE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME 2 Stunden SL:DATE_TIME] IN:CREATE_TIMER]
Ändere den Anruf auf nur Vollbild	[IN:UPDATE_METHOD_CALL  IN:UPDATE_METHOD_CALL]
Verlängere den Timer um 24 Minuten	[IN:ADD_TIME_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME um 24 Minuten SL:DATE_TIME] IN:ADD_TIME_TIMER]
Verlängere den Timer um 4 Stunden und 10 Minuten	[IN:ADD_TIME_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME um 4 Stunden und 10 Minuten SL:DATE_TIME] IN:ADD_TIME_TIMER]
Kannst du den Timer stummschalten	[IN:PAUSE_TIMER [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:PAUSE_TIMER]
Stelle einen Timer auf 60 Sekunden und einen zweiten auf 17 Minuten ein	[IN:CREATE_TIMER [SL:AMOUNT einen SL:AMOUNT] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME auf 60 Sekunden SL:DATE_TIME] [SL:ORDINAL zweiten SL:ORDINAL] [SL:DATE_TIME auf 17 Minuten SL:DATE_TIME] IN:CREATE_TIMER]
Bitte stelle die Uhr auf 10 vor 9 : 00 Uhr	[IN:CREATE_ALARM [SL:DATE_TIME auf 10 vor 9 : 00 Uhr SL:DATE_TIME] IN:CREATE_ALARM]
Entferne 10 Minuten des Workout - Timers	[IN:SUBTRACT_TIME_TIMER [SL:DATE_TIME 10 Minuten SL:DATE_TIME] [SL:TIMER_NAME Workout SL:TIMER_NAME] [SL:METHOD_TIMER Timers SL:METHOD_TIMER] IN:SUBTRACT_TIME_TIMER]
Füge weitere 25 Minuten zum Pomodoro - Timer hinzu	[IN:ADD_TIME_TIMER [SL:DATE_TIME 25 Minuten SL:DATE_TIME] [SL:TIMER_NAME Pomodoro SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Wähle Roses Oma	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Roses SL:CONTACT_RELATED]     [SL:TYPE_RELATION Oma SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Ruf den Partner von Melanie Suarez an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION Partner SL:TYPE_RELATION]     [SL:CONTACT_RELATED Melanie Suarez SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe Brooks Opa Daniela Cummings an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Brooks SL:CONTACT_RELATED]     [SL:TYPE_RELATION Opa SL:TYPE_RELATION]     [SL:CONTACT Daniela Cummings SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe meinen Papa über WhatsApp an	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED meinen SL:CONTACT_RELATED]     [SL:TYPE_RELATION Papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Whatsapp Anruf des Handys der Nichte	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Nichte SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Rufe meine Enkelin per Videoanruf bei Whatsapp an	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Enkelin SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Rufe Geschwisterkind im WhatsApp Videochat an	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Geschwisterkind SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Rufe meinen WhatsApp - Kontakt Freund an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION Freund SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Ruf Christopher Thomas über WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Christopher Thomas SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Rufe Wesley über Whatsapp an	[IN:CREATE_CALL [SL:CONTACT Wesley SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Rufe Scarlet über Whatsapp an	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Scarlet SL:CONTACT] IN:CREATE_CALL]
Rufe Stephanie Cruz auf Whatsapp an	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Stephanie Cruz SL:CONTACT] IN:CREATE_CALL]
Rufe Scarlett auf Whatsapp an	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Scarlett SL:CONTACT] IN:CREATE_CALL]
Whatsapp Videoanruf Royal	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Royal SL:CONTACT] IN:CREATE_CALL]
Rufe Valeria Walter an , rufe Madden Leonard per Whatsapp an	[IN:CREATE_CALL [SL:CONTACT Valeria Walter SL:CONTACT] [SL:CONTACT Madden Leonard SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Rufe meinen WhatsApp - Kontakt Alexa Delgado an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Alexa Delgado SL:CONTACT] IN:CREATE_CALL]
Rufe meinen WhatsApp - Kontakt Finn Crawford an	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Finn Crawford SL:CONTACT] IN:CREATE_CALL]
Rufe Kevin Potter aus meinen Whatsapp Kontakten an	[IN:CREATE_CALL [SL:CONTACT Kevin Potter SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Ruf Destiny Mcconnell aus meinen Whatsapp - Kontakten an	[IN:CREATE_CALL [SL:CONTACT Destiny Mcconnell SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Rufe per Whatsapp Kendall Holden an	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Kendall Holden SL:CONTACT] IN:CREATE_CALL]
Rufe Jaden Downs per Videoanruf auf Whatsapp an	[IN:CREATE_CALL [SL:CONTACT Jaden Downs SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Ruf Mackenzie Stevens per Video auf WhatsApp an	[IN:CREATE_CALL [SL:CONTACT Mackenzie Stevens SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Zeige mir meinen Makkaroni - Timer	[IN:GET_TIMER [SL:TIMER_NAME Makkaroni SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:GET_TIMER]
Füge es zum Pushup - Timer hinzu	[IN:ADD_TIME_TIMER [SL:TIMER_NAME Pushup - SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Kannst du zu meinem Dein Schläfchen ist vorbei - Timer Zeit hinzufügen	[IN:ADD_TIME_TIMER [SL:TIMER_NAME Dein Schläfchen ist vorbei SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:ADD_TIME_TIMER]
Füge dem Pushup - Timer 11 Minuten hinzu	[IN:ADD_TIME_TIMER [SL:TIMER_NAME Pushup SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] [SL:DATE_TIME 11 Minuten SL:DATE_TIME] IN:ADD_TIME_TIMER]
Mache weiter mit dem Du bist nicht fertig zu laufen bis das ausgeht Timer	[IN:RESUME_TIMER [SL:TIMER_NAME Du bist nicht fertig zu laufen bis das ausgeht SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:RESUME_TIMER]
Wir werden jetzt Kaleb Price anrufen	[IN:CREATE_CALL [SL:CONTACT Kaleb Price SL:CONTACT] IN:CREATE_CALL]
Pausiere meinen Produktivitäts - Timer	[IN:PAUSE_TIMER [SL:TIMER_NAME Produktivitäts SL:TIMER_NAME] [SL:METHOD_TIMER Timer SL:METHOD_TIMER] IN:PAUSE_TIMER]
