llamar a Irene Powell	[IN:CREATE_CALL [SL:CONTACT Irene Powell SL:CONTACT] IN:CREATE_CALL]
Llama a Ryan y Kameron Álvarez	[IN:CREATE_CALL [SL:CONTACT Ryan SL:CONTACT] [SL:CONTACT Kameron Álvarez SL:CONTACT] IN:CREATE_CALL]
Llama a India , Jason Newton , Corbin Salas y Ellen	[IN:CREATE_CALL [SL:CONTACT India SL:CONTACT] [SL:CONTACT Jason Newton SL:CONTACT] [SL:CONTACT Corbin Salas SL:CONTACT] [SL:CONTACT Ellen SL:CONTACT] IN:CREATE_CALL]
Crea una llamada conmigo , Aurora , Francesca y Cristian Long	[IN:CREATE_CALL [SL:CONTACT Aurora SL:CONTACT] [SL:CONTACT Francesca SL:CONTACT] [SL:CONTACT Cristian Long SL:CONTACT] IN:CREATE_CALL]
Haz una llamada con Sean Hogan , Chelsey Mcgee , Nathanael Jennings y Kade Solis	[IN:CREATE_CALL [SL:CONTACT Sean Hogan SL:CONTACT] [SL:CONTACT Chelsey Mcgee SL:CONTACT] [SL:CONTACT Nathanael Jennings SL:CONTACT] [SL:CONTACT Kade Solis SL:CONTACT] IN:CREATE_CALL]
Por favor , llama a Mia Caldwell , Drake Quinn , Melvin Keith y Brisa Blankenship	[IN:CREATE_CALL [SL:CONTACT Mia Caldwell SL:CONTACT] [SL:CONTACT Drake Quinn SL:CONTACT] [SL:CONTACT Melvin Keith SL:CONTACT] [SL:CONTACT Brisa Blankenship SL:CONTACT] IN:CREATE_CALL]
Inicia una llamada en audio con Sawyer Page y Benjamin Muñoz	[IN:CREATE_CALL [SL:CONTACT Sawyer Page SL:CONTACT] [SL:CONTACT Benjamin Muñoz SL:CONTACT] IN:CREATE_CALL]
Videochat con Carson Jordan y Steve Conner	[IN:CREATE_CALL [SL:CONTACT Carson Jordan SL:CONTACT] [SL:CONTACT Steve Conner SL:CONTACT] IN:CREATE_CALL]
Por favor , llama a Bradley y Gianna	[IN:CREATE_CALL [SL:CONTACT Bradley SL:CONTACT] [SL:CONTACT Gianna SL:CONTACT] IN:CREATE_CALL]
Llama a Logan y a Brandi	[IN:CREATE_CALL [SL:CONTACT Logan SL:CONTACT] [SL:CONTACT Brandi SL:CONTACT] IN:CREATE_CALL]
Crea una video llamada con Trinity , Mya , Kendall y Uriel	[IN:CREATE_CALL [SL:CONTACT Trinity SL:CONTACT] [SL:CONTACT Mya SL:CONTACT] [SL:CONTACT Kendall SL:CONTACT] [SL:CONTACT Uriel SL:CONTACT] IN:CREATE_CALL]
Crea una llamada con Jared , Jaime , Fernando , y Brooklyn en Wechat	[IN:CREATE_CALL [SL:CONTACT Jared SL:CONTACT] [SL:CONTACT Jaime SL:CONTACT] [SL:CONTACT Fernando SL:CONTACT] [SL:CONTACT Brooklyn SL:CONTACT] [SL:NAME_APP Wechat SL:NAME_APP] IN:CREATE_CALL]
Iniciar video llamada con mi esposo Bryan , mi esposa Tiara , mi novia Bridget y ni papá Wesley en Discord	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION esposo SL:TYPE_RELATION]     [SL:CONTACT Bryan SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION esposa SL:TYPE_RELATION]     [SL:CONTACT Tiara SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION novia SL:TYPE_RELATION]     [SL:CONTACT Bridget SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:CONTACT   [IN:GET_CONTACT [SL:TYPE_RELATION papá SL:TYPE_RELATION] [SL:CONTACT Wesley SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Discord SL:NAME_APP] IN:CREATE_CALL]
¿ Me puedes conectarme con Magic : The Gathering en Slack ?	[IN:CREATE_CALL [SL:GROUP Magic : The Gathering SL:GROUP] [SL:NAME_APP Slack SL:NAME_APP] IN:CREATE_CALL]
Iniciar una video llamada con Productividad	[IN:CREATE_CALL [SL:GROUP Productividad SL:GROUP] IN:CREATE_CALL]
Llama a grupos musicales en WhatsApp	[IN:CREATE_CALL [SL:GROUP musicales SL:GROUP] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Haz una llamada a mi grupo Comunidad en Hangouts	[IN:CREATE_CALL [SL:GROUP Comunidad SL:GROUP] [SL:NAME_APP Hangouts SL:NAME_APP] IN:CREATE_CALL]
Quiero llamar a los papás , por favor	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION papás SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Empezar una llamada con Spoken Word	[IN:CREATE_CALL [SL:GROUP Spoken Word SL:GROUP] IN:CREATE_CALL]
¿ Podemos hacer una llamada con el grupo de Historia Militar por Whatsapp ?	[IN:CREATE_CALL [SL:GROUP Historia Militar SL:GROUP] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
¿ Podemos hacer una video llamada con el grupo de Salsa en Whatsapp ?	[IN:CREATE_CALL [SL:GROUP Salsa SL:GROUP] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Hacer una llamada con mi grupo de amigos del trabajo por Hangouts	[IN:CREATE_CALL [SL:GROUP amigos del trabajo SL:GROUP] [SL:NAME_APP Hangouts SL:NAME_APP] IN:CREATE_CALL]
Puedes llamar al grupo Los Ángeles	[IN:CREATE_CALL [SL:GROUP Los Ángeles SL:GROUP] IN:CREATE_CALL]
Haz una video llamada con Empresarial .	[IN:CREATE_CALL [SL:GROUP Empresarial SL:GROUP] IN:CREATE_CALL]
Comienza una llamada con mi grupo de compañeros de trabajo en Messenger	[IN:CREATE_CALL [SL:GROUP compañeros de trabajo SL:GROUP] [SL:NAME_APP Messenger SL:NAME_APP] IN:CREATE_CALL]
¿ Puedes conectarme con el grupo de carpool ?	[IN:CREATE_CALL [SL:GROUP carpool SL:GROUP] IN:CREATE_CALL]
Comienza un chat de video con mi grupo de la clase de biología	[IN:CREATE_CALL [SL:GROUP clase de biología SL:GROUP] IN:CREATE_CALL]
Haz una llamada a Psicología	[IN:CREATE_CALL [SL:GROUP Psicología SL:GROUP] IN:CREATE_CALL]
¿ Podemos hacer una llamada con el grupo de los Amantes del Vino en Wechat ?	[IN:CREATE_CALL [SL:GROUP Amantes del Vino SL:GROUP] [SL:NAME_APP Wechat SL:NAME_APP] IN:CREATE_CALL]
Haz una llamada con Brendon , Caitlyn , Grant y Leslie	[IN:CREATE_CALL [SL:CONTACT Brendon SL:CONTACT] [SL:CONTACT Caitlyn SL:CONTACT] [SL:CONTACT Grant SL:CONTACT] [SL:CONTACT Leslie SL:CONTACT] IN:CREATE_CALL]
¿ Puedes comenzar una video llamada con mi equipo de Hockey ?	[IN:CREATE_CALL [SL:GROUP Hockey SL:GROUP] IN:CREATE_CALL]
Iniciar video llamada con Tom y su madre Lisa	[IN:CREATE_CALL [SL:CONTACT Tom SL:CONTACT] [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED su SL:CONTACT_RELATED]     [SL:TYPE_RELATION madre SL:TYPE_RELATION]     [SL:CONTACT Lisa SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a Xavier , Kevin y Ryan	[IN:CREATE_CALL [SL:CONTACT Xavier SL:CONTACT] [SL:CONTACT Kevin SL:CONTACT] [SL:CONTACT Ryan SL:CONTACT] IN:CREATE_CALL]
Responde a las llamadas de WhatsApp como predeterminado	[IN:SET_DEFAULT_PROVIDER_CALLING [SL:NAME_APP WhatsApp SL:NAME_APP] IN:SET_DEFAULT_PROVIDER_CALLING]
Comunícate con Connor	[IN:CREATE_CALL [SL:CONTACT Connor SL:CONTACT] IN:CREATE_CALL]
Dale un toque a Silas	[IN:CREATE_CALL [SL:CONTACT Silas SL:CONTACT] IN:CREATE_CALL]
Dale un toque a Regina	[IN:CREATE_CALL [SL:CONTACT Regina SL:CONTACT] IN:CREATE_CALL]
Dale un toque a Carlos	[IN:CREATE_CALL [SL:CONTACT Carlos SL:CONTACT] IN:CREATE_CALL]
Da un toque a Colton Kim	[IN:CREATE_CALL [SL:CONTACT Colton Kim SL:CONTACT] IN:CREATE_CALL]
Haz una llamada a Derek el papá de Noelle	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Noelle SL:CONTACT_RELATED]     [SL:TYPE_RELATION papá SL:TYPE_RELATION]     [SL:CONTACT Derek SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama a la hermana de Graham	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION hermana SL:TYPE_RELATION]     [SL:CONTACT_RELATED Graham SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
¿ Podrías llamar a Peyton , el papá de Evelyn Glenn ?	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Evelyn Glenn SL:CONTACT_RELATED]     [SL:TYPE_RELATION papá SL:TYPE_RELATION]     [SL:CONTACT Peyton SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llamar a la mamá de Weston Abbott	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION mamá SL:TYPE_RELATION]     [SL:CONTACT_RELATED Weston Abbott SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llama al abuelo de Luke Burgess	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION abuelo SL:TYPE_RELATION]     [SL:CONTACT_RELATED Luke Burgess SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Puedes llamar al socio de Greyson	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION socio SL:TYPE_RELATION]     [SL:CONTACT_RELATED Greyson SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
dar una llamada al abuelo de Justin	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION abuelo SL:TYPE_RELATION]     [SL:CONTACT_RELATED Justin SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama a la hermana de Ashton , Cayden	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Ashton SL:CONTACT_RELATED]     [SL:TYPE_RELATION hermana SL:TYPE_RELATION]     [SL:CONTACT Cayden SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llama a la abuela de Aaron	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION abuela SL:TYPE_RELATION]     [SL:CONTACT_RELATED Aaron SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama a Jesus Leonard de la abuela Jeremiah	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Jesus Leonard SL:CONTACT_RELATED]     [SL:TYPE_RELATION abuela SL:TYPE_RELATION]     [SL:CONTACT Jeremiah SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama al papá de Peyton Jensen	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION papá SL:TYPE_RELATION]     [SL:CONTACT_RELATED Peyton Jensen SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
¿ Puedes llamar a la amiga de Catherine ?	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION amiga SL:TYPE_RELATION]     [SL:CONTACT_RELATED Catherine SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama al abuelo de Rosalie Joseph	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION abuelo SL:TYPE_RELATION]     [SL:CONTACT_RELATED Rosalie Joseph SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama a la pareja de Hudson	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION pareja SL:TYPE_RELATION]     [SL:CONTACT_RELATED Hudson SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llama por teléfono al tío de Aubrey Wagner	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION tío SL:TYPE_RELATION]     [SL:CONTACT_RELATED Aubrey Wagner SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Empieza una llamada a la pareja de Emiliano	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Emiliano SL:CONTACT_RELATED]     [SL:TYPE_RELATION pareja SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llama al padre de Roman Mueller	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:TYPE_RELATION padre SL:TYPE_RELATION]     [SL:CONTACT_RELATED Roman Mueller SL:CONTACT_RELATED] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Hazle una llamada a Joseph Best , la novia de Ian	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Ian SL:CONTACT_RELATED]     [SL:TYPE_RELATION novia SL:TYPE_RELATION]     [SL:CONTACT Joseph Best SL:CONTACT] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llamar a la hermana de Caroline	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED Caroline SL:CONTACT_RELATED]     [SL:TYPE_RELATION hermana SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
Llama a la tía de Nora	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT [SL:CONTACT_RELATED Nora SL:CONTACT_RELATED] [SL:TYPE_RELATION tía SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llamar a mi abuela por whatsapp	[IN:CREATE_CALL [SL:CONTACT   [IN:GET_CONTACT     [SL:CONTACT_RELATED mi SL:CONTACT_RELATED]     [SL:TYPE_RELATION abuela SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llamar al abuelo en WhatsApp	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION abuelo SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] IN:CREATE_CALL]
llamar a papa en video en Whatsapp	[IN:CREATE_CALL [SL:CONTACT [IN:GET_CONTACT [SL:TYPE_RELATION papa SL:TYPE_RELATION] IN:GET_CONTACT] SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
llamar a Ezekiel Macdonald por whatsapp	[IN:CREATE_CALL [SL:CONTACT Ezekiel Macdonald SL:CONTACT] [SL:NAME_APP whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Javon Nicholson por WhatsApp	[IN:CREATE_CALL [SL:CONTACT Javon Nicholson SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llama a Karter a través de WhatsApp	[IN:CREATE_CALL [SL:CONTACT Karter SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
haz una llamada por whatsapp a Oscar Gilmore	[IN:CREATE_CALL [SL:NAME_APP whatsapp SL:NAME_APP] [SL:CONTACT Oscar Gilmore SL:CONTACT] IN:CREATE_CALL]
Haz una llamada de whatsapp a Michelle Edwards	[IN:CREATE_CALL [SL:NAME_APP whatsapp SL:NAME_APP] [SL:CONTACT Michelle Edwards SL:CONTACT] IN:CREATE_CALL]
haz una llamada por Whatsapp a Raegan	[IN:CREATE_CALL [SL:NAME_APP llamada SL:NAME_APP] [SL:CONTACT Raegan SL:CONTACT] IN:CREATE_CALL]
en whatsapp llama a Hayden Gardner	[IN:CREATE_CALL [SL:NAME_APP whatsapp SL:NAME_APP] [SL:CONTACT Hayden Gardner SL:CONTACT] IN:CREATE_CALL]
llama a Reagan Webster por whatsapp video	[IN:CREATE_CALL [SL:CONTACT Reagan Webster SL:CONTACT] [SL:NAME_APP whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Javier Ponce por video en Whatsapp .	[IN:CREATE_CALL [SL:CONTACT Javier Ponce SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Mackenzie por Whatsapp	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Mackenzie SL:CONTACT] IN:CREATE_CALL]
Llama a Amina mediante un video de whatsapp	[IN:CREATE_CALL [SL:CONTACT Amina SL:CONTACT] [SL:NAME_APP whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama al móvil de Lincoln Hines por whatsapp	[IN:CREATE_CALL [SL:CONTACT Lincoln Hines SL:CONTACT] [SL:NAME_APP whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama al celular de Teagan Durham en WhatsApp	[IN:CREATE_CALL [SL:CONTACT Teagan Durham SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
llama a Piper Chavez por whatsapp	[IN:CREATE_CALL [SL:CONTACT Piper Chavez SL:CONTACT] [SL:NAME_APP whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Lincoln con por video llamada de Whatsapp	[IN:CREATE_CALL [SL:CONTACT Lincoln SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Pedro por video llamada de WhatsApp	[IN:CREATE_CALL [SL:CONTACT Pedro SL:CONTACT] [SL:NAME_APP WhatsApp SL:NAME_APP] IN:CREATE_CALL]
Llama a Ariel Rosario , llama a Finn Crawford con Whatsapp	[IN:CREATE_CALL [SL:CONTACT Ariel Rosario SL:CONTACT] [SL:CONTACT Finn Crawford SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
llamar a Claire Lucas llamar a Alayna Moore usando Whatsapp	[IN:CREATE_CALL [SL:CONTACT Claire Lucas SL:CONTACT] [SL:CONTACT Alayna Moore SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Amiyah , llama a Naomi en Whatsapp	[IN:CREATE_CALL [SL:CONTACT Amiyah SL:CONTACT] [SL:CONTACT Naomi SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a mi contacto de Whatsapp Ayden Padilla	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Ayden Padilla SL:CONTACT] IN:CREATE_CALL]
llama a mi contacto de Whatsapp Amaya Trujillo	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Amaya Trujillo SL:CONTACT] IN:CREATE_CALL]
Llama a Nolan , mi contacto de WhatsApp	[IN:CREATE_CALL [SL:NAME_APP WhatsApp SL:NAME_APP] [SL:CONTACT Nolan SL:CONTACT] IN:CREATE_CALL]
llama a Londyn Steele desde mis contactos de Whatsapp	[IN:CREATE_CALL [SL:CONTACT Londyn Steele SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
llama a Jocelyn Mills en mis contactos de Whatsapp	[IN:CREATE_CALL [SL:CONTACT Jocelyn Mills SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Lillian Christian de mis contactos de Whatsapp	[IN:CREATE_CALL [SL:CONTACT Lillian Christian SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Stephanie desde mis contactos de Whatsapp	[IN:CREATE_CALL [SL:CONTACT Stephanie SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama por Whatsapp a Isaac Barnett	[IN:CREATE_CALL [SL:NAME_APP por Whatsapp SL:NAME_APP] [SL:CONTACT a Isaac Barnett SL:CONTACT] IN:CREATE_CALL]
Llamar por Whatsapp a Selah	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Selah SL:CONTACT] IN:CREATE_CALL]
llama a Whatsapp , Lena	[IN:CREATE_CALL [SL:NAME_APP Whatsapp SL:NAME_APP] [SL:CONTACT Lena SL:CONTACT] IN:CREATE_CALL]
llama a Ayden Padilla por video en Whatsapp	[IN:CREATE_CALL [SL:CONTACT Ayden Padilla SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
Llama a Aaron con video en Whatsapp	[IN:CREATE_CALL [SL:CONTACT Aaron SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
llamar a Amaya en video por Whatsapp	[IN:CREATE_CALL [SL:CONTACT Amaya SL:CONTACT] [SL:NAME_APP Whatsapp SL:NAME_APP] IN:CREATE_CALL]
vamos a llamar a Gloria Burgess	[IN:CREATE_CALL [SL:CONTACT Gloria Burgess SL:CONTACT] IN:CREATE_CALL]
llamemos a Gary ahora	[IN:CREATE_CALL [SL:CONTACT Gary SL:CONTACT] IN:CREATE_CALL]
Llamar a Amanda	[IN:CREATE_CALL [SL:CONTACT Amanda SL:CONTACT] IN:CREATE_CALL]
